ticker,unit_economics_score,capital_discipline_score,balance_sheet_score,hedge_book_score,reserves_score,operational_score,sentiment_score,macro_sensitivity_score,caligula_score,tier,quarter
FANG,,,,,,,,0.6458333333333334,0.058125,D,2022-09-30
CTRA,,,,,,,,0.5694444444444444,0.05125,D,2022-09-30
MTDR,,,,,,,,0.7152777777777778,0.064375,D,2022-09-30
PR,,,,,,,,0.3055555555555556,0.0275,D,2022-09-30
OVV,,,,,,,,0.2222222222222222,0.02,D,2022-09-30
APA,,,,,,,,0.0,0.0,D,2022-09-30
EOG,,,,,,,,0.5763888888888888,0.051875,D,2022-09-30
CRGY,,,,,,,,0.5416666666666667,0.04875000000000001,D,2022-09-30
SM,,,,,,,,0.1736111111111111,0.015625,D,2022-09-30
CIVI,,,,,,,,,,,2022-09-30
PXD,,,,,,,,,,,2022-09-30
CPE,,,,,,,,,,,2022-09-30
LPI,,,,,,,,,,,2022-09-30
