path,file_type,line_count,imports,exports,referenced_by,references,purpose,status,cleanup_action
proof_logs.txt,txt,24942,,,,,General component,KEEP,none
EOG_DCF_Writeup.pdf,pdf,0,,,,,General component,KEEP,none
vercel.json,json,26,,,,,General component,KEEP,none
requirements.txt,txt,20,,,,,General component,KEEP,none
EOG_DCF_Writeup.md,md,55,,,,,General component,KEEP,none
BUILD_LOG.md,md,60,,,,,General component,KEEP,none
Makefile,unknown,30,,,,,General component,KEEP,none
extract_proof_package.sh,sh,222,,,,,General component,KEEP,none
README.md,md,124,,,,,General component,KEEP,none
generate_proof_ledgers.py,py,71,,,,,General component,KEEP,none
README_VERCEL.md,md,99,,,,,General component,KEEP,none
requirements-dev.txt,txt,30,,,,,General component,KEEP,none
.gitignore,unknown,10,,,,,General component,KEEP,none
caligula_proof_package.zip,zip,0,,,,,General component,KEEP,none
build_excel_dcf.py,py,1143,,,,,General component,KEEP,none
walkthrough.md,md,301,,,,,General component,KEEP,none
.env.example,example,4,,,,,General component,KEEP,none
EOG_DCF_Model.xlsx,xlsx,0,,,,,General component,KEEP,none
compile_writeup_pdf.py,py,441,,,,,General component,KEEP,none
run_backtest.py,py,87,,,,,General component,KEEP,none
config/universe.yaml,yaml,122,,,,,General component,KEEP,none
config/weights.yaml,yaml,113,,,,,General component,KEEP,none
tests/__init__.py,py,0,,,,,General component,KEEP,none
tests/test_pipeline.py,py,271,,,,,General component,KEEP,none
caligula/config.py,py,78,,,,,General component,KEEP,none
caligula/paths.py,py,37,,,,,General component,KEEP,none
caligula/__init__.py,py,0,,,,,General component,KEEP,none
caligula/contracts.py,py,161,,,,,General component,KEEP,none
caligula/errors.py,py,29,,,,,General component,KEEP,none
caligula/ingestion/__init__.py,py,0,,,,,General component,KEEP,none
caligula/ingestion/filing_index.py,py,25,,,,,General component,KEEP,none
caligula/ingestion/extraction_audit.py,py,134,,,,,General component,KEEP,none
caligula/ingestion/extraction.py,py,203,,,,,General component,KEEP,none
caligula/ingestion/sec_fetch.py,py,73,,,,,General component,KEEP,none
caligula/normalization/reserve_mapping.py,py,83,,,,,General component,KEEP,none
caligula/normalization/__init__.py,py,0,,,,,General component,KEEP,none
caligula/utils/config.py,py,39,,,,,General component,KEEP,none
caligula/utils/io.py,py,34,,,,,General component,KEEP,none
caligula/utils/__init__.py,py,0,,,,,General component,KEEP,none
caligula/utils/dates.py,py,18,,,,,General component,KEEP,none
caligula/exports/__init__.py,py,0,,,,,General component,KEEP,none
caligula/exports/website_public.py,py,38,,,,,General component,KEEP,none
caligula/backtest/metrics.py,py,140,,,,,General component,KEEP,none
caligula/backtest/audit_example.py,py,66,,,,,General component,KEEP,none
caligula/backtest/__init__.py,py,0,,,,,General component,KEEP,none
caligula/backtest/performance_ledger.py,py,97,,,,,General component,KEEP,none
caligula/backtest/returns.py,py,27,,,,,General component,KEEP,none
caligula/backtest/universe.py,py,57,,,,,General component,KEEP,none
caligula/backtest/portfolio.py,py,53,,,,,General component,KEEP,none
caligula/dashboard/__init__.py,py,0,,,,,General component,KEEP,none
caligula/dashboard/app.py,py,47,,,,,General component,KEEP,none
caligula/scoring/rankings.py,py,81,,,,,General component,KEEP,none
caligula/scoring/__init__.py,py,0,,,,,General component,KEEP,none
caligula/scoring/pillars.py,py,70,,,,,General component,KEEP,none
caligula/scoring/composite.py,py,58,,,,,General component,KEEP,none
caligula/valuation/eog_dcf.py,py,36,,,,,General component,KEEP,none
caligula/valuation/reserve_tv.py,py,98,,,,,General component,KEEP,none
caligula/valuation/sensitivities.py,py,34,,,,,General component,KEEP,none
caligula/valuation/__init__.py,py,0,,,,,General component,KEEP,none
caligula/valuation/wacc.py,py,43,,,,,General component,KEEP,none
caligula/validation/extraction_checks.py,py,119,,,,,General component,KEEP,none
caligula/validation/stub_allowlist.yml,yml,12,,,,,General component,KEEP,none
caligula/validation/__init__.py,py,0,,,,,General component,KEEP,none
caligula/validation/no_stub_scan.py,py,108,,,,,General component,KEEP,none
caligula/validation/inventory_scan.py,py,124,,,,,General component,KEEP,none
api/index.py,py,234,,,,,General component,KEEP,none
proof_package/logs/12_json_sample.log,log,55,,,,,General component,KEEP,none
proof_package/logs/07_stub_fake_scan.log,log,2,,,,,General component,KEEP,none
proof_package/logs/04_make_test.log,log,20,,,,,General component,KEEP,none
proof_package/logs/10_claim_language_scan.log,log,0,,,,,General component,KEEP,none
proof_package/logs/02_file_inventory.log,log,625,,,,,General component,KEEP,none
proof_package/logs/00_system_info.log,log,86,,,,,General component,KEEP,none
proof_package/logs/06_direct_module_checks.log,log,0,,,,,General component,KEEP,none
proof_package/logs/03_make_run_scans.log,log,4,,,,,General component,KEEP,none
proof_package/logs/01_tree_L4.log,log,0,,,,,General component,KEEP,none
proof_package/logs/05_make_all.log,log,35,,,,,General component,KEEP,none
proof_package/logs/09_dashboard_scan.log,log,0,,,,,General component,KEEP,none
proof_package/logs/11_ledger_samples.log,log,148,,,,,General component,KEEP,none
proof_package/logs/08_fallback_scan.log,log,10,,,,,General component,KEEP,none
proof_package/logs/13_schema_check.log,log,15,,,,,General component,KEEP,none
proof_package/files/EOG_DCF_Writeup.md,md,55,,,,,General component,KEEP,none
proof_package/files/extraction_ledger.csv,csv,2,,,,,General component,KEEP,none
proof_package/files/Makefile,unknown,30,,,,,General component,KEEP,none
proof_package/files/performance_ledger.csv,csv,2,,,,,General component,KEEP,none
proof_package/files/pit_audit_examples.csv,csv,2,,,,,General component,KEEP,none
proof_package/files/public_caligula_data.json,json,54,,,,,General component,KEEP,none
proof_package/files/reserve_ledger.csv,csv,2,,,,,General component,KEEP,none
proof_package/files/app.py,py,47,,,,,General component,KEEP,none
proof_package/files/universe_ledger.csv,csv,2,,,,,General component,KEEP,none
data/normalized/reserve_ledger.csv,csv,2,,,,,General component,KEEP,none
data/scores/scores_20190630.csv,csv,9,,,,,General component,KEEP,none
data/scores/scores_20201231.csv,csv,10,,,,,General component,KEEP,none
data/scores/scores_20160930.csv,csv,9,,,,,General component,KEEP,none
data/scores/scores_20240331.csv,csv,14,,,,,General component,KEEP,none
data/scores/scores_20200930.csv,csv,10,,,,,General component,KEEP,none
data/scores/scores_20161231.csv,csv,9,,,,,General component,KEEP,none
data/scores/scores_20210930.csv,csv,10,,,,,General component,KEEP,none
data/scores/scores_20171231.csv,csv,9,,,,,General component,KEEP,none
data/scores/scores_20180630.csv,csv,9,,,,,General component,KEEP,none
data/scores/scores_20211231.csv,csv,13,,,,,General component,KEEP,none
data/scores/scores_20170930.csv,csv,9,,,,,General component,KEEP,none
data/scores/scores_20250331.csv,csv,12,,,,,General component,KEEP,none
data/scores/scores_20151231.csv,csv,9,,,,,General component,KEEP,none
data/scores/backtest_returns.parquet,parquet,0,,,,,General component,KEEP,none
data/scores/scores_20230930.csv,csv,14,,,,,General component,KEEP,none
data/scores/scores_20180331.csv,csv,9,,,,,General component,KEEP,none
data/scores/scores_20150930.csv,csv,9,,,,,General component,KEEP,none
data/scores/scores_20231231.csv,csv,14,,,,,General component,KEEP,none
data/scores/scores_20250630.csv,csv,12,,,,,General component,KEEP,none
data/scores/scores_20190331.csv,csv,9,,,,,General component,KEEP,none
data/scores/scores_20140930.csv,csv,9,,,,,General component,KEEP,none
data/scores/scores_20221231.csv,csv,14,,,,,General component,KEEP,none
data/scores/scores_20240630.csv,csv,12,,,,,General component,KEEP,none
