ticker,quarter,caligula_score,rank,tier
CPE,2014-03-31,0.5863571428571429,1.0,B
SM,2014-03-31,0.5855178571428571,2.0,B
PXD,2014-03-31,0.5714464285714286,3.0,B
EOG,2014-03-31,0.5553125,4.0,B
CXO,2014-03-31,0.5401250000000001,5.0,C
VTLE,2014-03-31,0.4938571428571429,6.0,C
MTDR,2014-03-31,0.4788482142857143,7.0,C
FANG,2014-03-31,0.4311160714285714,8.0,C
CPE,2014-06-30,0.6246785714285714,1.0,B
SM,2014-06-30,0.5763303571428571,2.0,B
MTDR,2014-06-30,0.5727589285714285,3.0,B
CXO,2014-06-30,0.570375,4.0,B
EOG,2014-06-30,0.4858125,5.0,C
PXD,2014-06-30,0.46382142857142855,6.0,C
FANG,2014-06-30,0.46316964285714285,7.0,C
VTLE,2014-06-30,0.4414821428571429,8.0,C
CPE,2014-09-30,0.6720535714285714,1.0,B
MTDR,2014-09-30,0.6423839285714286,2.0,B
SM,2014-09-30,0.5869553571428571,3.0,B
PXD,2014-09-30,0.5254464285714285,4.0,C
EOG,2014-09-30,0.4548125,5.0,C
FANG,2014-09-30,0.4487702922077922,6.0,C
VTLE,2014-09-30,0.42255357142857153,7.0,C
CXO,2014-09-30,0.421875,8.0,C
MTDR,2014-12-31,0.6117797619047619,1.0,B
EOG,2014-12-31,0.5867916666666667,2.0,B
CPE,2014-12-31,0.5785535714285714,3.0,B
CXO,2014-12-31,0.544,4.0,C
VTLE,2014-12-31,0.47230357142857143,5.0,C
FANG,2014-12-31,0.4644399350649351,6.0,C
SM,2014-12-31,0.45964285714285713,7.0,C
PXD,2014-12-31,0.42769642857142853,8.0,C
MTDR,2015-03-31,0.5893214285714286,1.0,B
CPE,2015-03-31,0.5882678571428572,2.0,B
CXO,2015-03-31,0.567375,3.0,B
SM,2015-03-31,0.5235178571428571,4.0,C
VTLE,2015-03-31,0.5132678571428572,5.0,C
EOG,2015-03-31,0.480125,6.0,C
FANG,2015-03-31,0.4629220779220779,7.0,C
PXD,2015-03-31,0.4484464285714286,8.0,C
CPE,2015-06-30,0.6301785714285714,1.0,B
MTDR,2015-06-30,0.6104642857142857,2.0,B
FANG,2015-06-30,0.5390584415584416,3.0,C
SM,2015-06-30,0.5251785714285715,4.0,C
CXO,2015-06-30,0.519625,5.0,C
EOG,2015-06-30,0.4738392857142857,6.0,C
VTLE,2015-06-30,0.4514285714285714,7.0,C
PXD,2015-06-30,0.4296785714285714,8.0,C
CPE,2015-09-30,0.5958035714285714,1.0,B
SM,2015-09-30,0.5618035714285715,2.0,B
EOG,2015-09-30,0.5295892857142858,3.0,C
CXO,2015-09-30,0.523875,4.0,C
FANG,2015-09-30,0.5213798701298701,5.0,C
VTLE,2015-09-30,0.510125,6.0,C
MTDR,2015-09-30,0.4879642857142857,7.0,C
PXD,2015-09-30,0.43655357142857143,8.0,C
CPE,2015-12-31,0.6875357142857141,1.0,B
SM,2015-12-31,0.5314285714285715,2.0,C
EOG,2015-12-31,0.5267142857142858,3.0,C
MTDR,2015-12-31,0.5188392857142857,4.0,C
PXD,2015-12-31,0.5056785714285713,5.0,C
CXO,2015-12-31,0.49975,6.0,C
FANG,2015-12-31,0.4899512987012987,7.0,C
VTLE,2015-12-31,0.39194642857142853,8.0,D
CXO,2016-03-31,0.6107857142857144,1.0,B
MTDR,2016-03-31,0.5643392857142857,2.0,B
CPE,2016-03-31,0.5428035714285714,3.0,C
FANG,2016-03-31,0.5290324675324676,4.0,C
SM,2016-03-31,0.5269285714285715,5.0,C
PXD,2016-03-31,0.5258928571428572,6.0,C
EOG,2016-03-31,0.4813392857142857,7.0,C
VTLE,2016-03-31,0.4056964285714285,8.0,C
CXO,2016-06-30,0.703125,1.0,A
CPE,2016-06-30,0.6408392857142857,2.0,B
SM,2016-06-30,0.5631785714285715,3.0,B
EOG,2016-06-30,0.49592857142857144,4.0,C
PXD,2016-06-30,0.4932678571428572,5.0,C
FANG,2016-06-30,0.4836753246753247,6.0,C
VTLE,2016-06-30,0.40001785714285715,7.0,C
MTDR,2016-06-30,0.3907142857142857,8.0,D
CPE,2016-09-30,0.635125,1.0,B
SM,2016-09-30,0.5959285714285714,2.0,B
VTLE,2016-09-30,0.5741428571428572,3.0,B
CXO,2016-09-30,0.5022142857142857,4.0,C
MTDR,2016-09-30,0.48371428571428565,5.0,C
EOG,2016-09-30,0.4814285714285714,6.0,C
PXD,2016-09-30,0.4446428571428572,7.0,C
FANG,2016-09-30,0.4349253246753247,8.0,C
FANG,2016-12-31,0.5612483766233766,1.0,B
CXO,2016-12-31,0.5540178571428571,2.0,B
SM,2016-12-31,0.5434285714285714,3.0,C
CPE,2016-12-31,0.5150535714285713,4.0,C
PXD,2016-12-31,0.5102857142857142,5.0,C
MTDR,2016-12-31,0.5017142857142857,6.0,C
EOG,2016-12-31,0.4896785714285714,7.0,C
VTLE,2016-12-31,0.47144642857142854,8.0,C
PXD,2017-03-31,0.5815357142857143,1.0,B
CPE,2017-03-31,0.570767857142857,2.0,B
MTDR,2017-03-31,0.5588392857142856,3.0,B
CXO,2017-03-31,0.5559464285714286,4.0,B
SM,2017-03-31,0.5183035714285714,5.0,C
FANG,2017-03-31,0.47719480519480517,6.0,C
EOG,2017-03-31,0.4771785714285714,7.0,C
VTLE,2017-03-31,0.44512500000000005,8.0,C
CPE,2017-06-30,0.6310714285714285,1.0,B
VTLE,2017-06-30,0.5817321428571429,2.0,B
MTDR,2017-06-30,0.5518392857142856,3.0,B
SM,2017-06-30,0.5340535714285715,4.0,C
CXO,2017-06-30,0.4999464285714286,5.0,C
EOG,2017-06-30,0.4943035714285714,6.0,C
PXD,2017-06-30,0.46966071428571426,7.0,C
FANG,2017-06-30,0.45523214285714286,8.0,C
MTDR,2017-09-30,0.6233392857142858,1.0,B
SM,2017-09-30,0.5454285714285715,2.0,C
PXD,2017-09-30,0.5331607142857143,3.0,C
FANG,2017-09-30,0.5113035714285714,4.0,C
EOG,2017-09-30,0.5094285714285715,5.0,C
CXO,2017-09-30,0.4936607142857143,6.0,C
CPE,2017-09-30,0.49291071428571426,7.0,C
VTLE,2017-09-30,0.4844464285714285,8.0,C
MTDR,2017-12-31,0.5897142857142856,1.0,B
EOG,2017-12-31,0.5779285714285715,2.0,B
PXD,2017-12-31,0.5719107142857143,3.0,B
SM,2017-12-31,0.5486785714285715,4.0,C
CPE,2017-12-31,0.5329107142857142,5.0,C
CXO,2017-12-31,0.5109821428571428,6.0,C
VTLE,2017-12-31,0.44623214285714285,7.0,C
FANG,2017-12-31,0.40496428571428567,8.0,C
EOG,2018-03-31,0.6389880952380953,1.0,B
SM,2018-03-31,0.5630535714285715,2.0,B
CXO,2018-03-31,0.5576071428571429,3.0,B
FANG,2018-03-31,0.5549702380952382,4.0,B
PXD,2018-03-31,0.5158630952380953,5.0,C
VTLE,2018-03-31,0.5122559523809523,6.0,C
MTDR,2018-03-31,0.4482142857142857,7.0,C
CPE,2018-03-31,0.4369642857142857,8.0,C
CXO,2018-06-30,0.5957678571428572,1.0,B
VTLE,2018-06-30,0.5662738095238096,2.0,B
PXD,2018-06-30,0.559577380952381,3.0,B
EOG,2018-06-30,0.5422023809523809,4.0,C
CPE,2018-06-30,0.5117142857142858,5.0,C
