ticker,quarter,unit_economics_score,capital_discipline_score,balance_sheet_score,hedge_book_score,reserves_score,operational_score,sentiment_score,macro_sensitivity_score,caligula_score,rank,tier
CPE,2014-03-31,0.3611111111111111,0.8571428571428571,0.6377551020408163,0.4791666666666667,0.51875,0.45625,0.875,0.5625,0.5863571428571429,1.0,B
SM,2014-03-31,0.8194444444444444,0.8392857142857143,0.3053571428571428,0.4166666666666667,0.3958333333333333,0.775,0.4375,0.5625,0.5855178571428571,2.0,B
PXD,2014-03-31,0.5,0.6071428571428571,0.4642857142857143,0.625,0.8,0.6625,0.375,0.5625,0.5714464285714286,3.0,B
EOG,2014-03-31,0.4861111111111111,0.5,0.5982142857142857,0.7708333333333334,0.5625,0.46875,0.515625,0.5625,0.5553125,4.0,B
CXO,2014-03-31,0.5694444444444444,0.375,0.18571428571428572,0.5833333333333334,0.4875,0.7625,1.0,0.5625,0.5401250000000001,5.0,C
VTLE,2014-03-31,0.4861111111111111,0.25,0.582908163265306,0.625,0.7375,0.35625,0.375,0.5625,0.4938571428571429,6.0,C
MTDR,2014-03-31,0.08333333333333333,0.8035714285714286,0.575,0.5208333333333334,0.6875,0.375,0.296875,0.5625,0.4788482142857143,7.0,C
FANG,2014-03-31,0.3611111111111111,0.125,0.5369897959183673,0.4791666666666667,0.4010416666666667,0.64375,0.515625,0.5625,0.4311160714285714,8.0,C
CPE,2014-06-30,0.2673611111111111,0.8035714285714286,0.6760204081632654,0.6875,0.85,0.2625,1.0,0.5625,0.6246785714285714,1.0,B
SM,2014-06-30,0.7916666666666666,0.8392857142857143,0.08571428571428572,0.5208333333333334,0.5104166666666666,0.86875,0.375,0.53125,0.5763303571428571,2.0,B
MTDR,2014-06-30,0.6701388888888888,0.8571428571428571,0.6125,0.5208333333333334,0.53125,0.425,0.4375,0.28125,0.5727589285714285,3.0,B
CXO,2014-06-30,0.6666666666666666,0.25,0.5053571428571428,0.5833333333333334,0.5125,0.725,0.875,0.5625,0.570375,4.0,B
