ticker,quarter,rank,tier
CPE,2014-03-31,1.0,B
SM,2014-03-31,2.0,B
PXD,2014-03-31,3.0,B
EOG,2014-03-31,4.0,B
CXO,2014-03-31,5.0,C
VTLE,2014-03-31,6.0,C
MTDR,2014-03-31,7.0,C
FANG,2014-03-31,8.0,C
CPE,2014-06-30,1.0,B
SM,2014-06-30,2.0,B
MTDR,2014-06-30,3.0,B
CXO,2014-06-30,4.0,B
EOG,2014-06-30,5.0,C
PXD,2014-06-30,6.0,C
FANG,2014-06-30,7.0,C
VTLE,2014-06-30,8.0,C
CPE,2014-09-30,1.0,B
MTDR,2014-09-30,2.0,B
SM,2014-09-30,3.0,B
PXD,2014-09-30,4.0,C
EOG,2014-09-30,5.0,C
FANG,2014-09-30,6.0,C
VTLE,2014-09-30,7.0,C
CXO,2014-09-30,8.0,C
MTDR,2014-12-31,1.0,B
EOG,2014-12-31,2.0,B
CPE,2014-12-31,3.0,B
CXO,2014-12-31,4.0,C
VTLE,2014-12-31,5.0,C
FANG,2014-12-31,6.0,C
SM,2014-12-31,7.0,C
PXD,2014-12-31,8.0,C
MTDR,2015-03-31,1.0,B
CPE,2015-03-31,2.0,B
CXO,2015-03-31,3.0,B
SM,2015-03-31,4.0,C
VTLE,2015-03-31,5.0,C
EOG,2015-03-31,6.0,C
FANG,2015-03-31,7.0,C
PXD,2015-03-31,8.0,C
CPE,2015-06-30,1.0,B
MTDR,2015-06-30,2.0,B
FANG,2015-06-30,3.0,C
SM,2015-06-30,4.0,C
CXO,2015-06-30,5.0,C
EOG,2015-06-30,6.0,C
VTLE,2015-06-30,7.0,C
PXD,2015-06-30,8.0,C
CPE,2015-09-30,1.0,B
SM,2015-09-30,2.0,B
EOG,2015-09-30,3.0,C
CXO,2015-09-30,4.0,C
FANG,2015-09-30,5.0,C
VTLE,2015-09-30,6.0,C
MTDR,2015-09-30,7.0,C
PXD,2015-09-30,8.0,C
CPE,2015-12-31,1.0,B
SM,2015-12-31,2.0,C
EOG,2015-12-31,3.0,C
MTDR,2015-12-31,4.0,C
PXD,2015-12-31,5.0,C
CXO,2015-12-31,6.0,C
FANG,2015-12-31,7.0,C
VTLE,2015-12-31,8.0,D
CXO,2016-03-31,1.0,B
MTDR,2016-03-31,2.0,B
CPE,2016-03-31,3.0,C
FANG,2016-03-31,4.0,C
SM,2016-03-31,5.0,C
PXD,2016-03-31,6.0,C
EOG,2016-03-31,7.0,C
VTLE,2016-03-31,8.0,C
CXO,2016-06-30,1.0,A
CPE,2016-06-30,2.0,B
SM,2016-06-30,3.0,B
EOG,2016-06-30,4.0,C
PXD,2016-06-30,5.0,C
FANG,2016-06-30,6.0,C
VTLE,2016-06-30,7.0,C
MTDR,2016-06-30,8.0,D
CPE,2016-09-30,1.0,B
SM,2016-09-30,2.0,B
VTLE,2016-09-30,3.0,B
CXO,2016-09-30,4.0,C
MTDR,2016-09-30,5.0,C
EOG,2016-09-30,6.0,C
PXD,2016-09-30,7.0,C
FANG,2016-09-30,8.0,C
FANG,2016-12-31,1.0,B
CXO,2016-12-31,2.0,B
SM,2016-12-31,3.0,C
CPE,2016-12-31,4.0,C
PXD,2016-12-31,5.0,C
MTDR,2016-12-31,6.0,C
EOG,2016-12-31,7.0,C
VTLE,2016-12-31,8.0,C
PXD,2017-03-31,1.0,B
CPE,2017-03-31,2.0,B
MTDR,2017-03-31,3.0,B
CXO,2017-03-31,4.0,B
SM,2017-03-31,5.0,C
FANG,2017-03-31,6.0,C
EOG,2017-03-31,7.0,C
VTLE,2017-03-31,8.0,C
CPE,2017-06-30,1.0,B
VTLE,2017-06-30,2.0,B
MTDR,2017-06-30,3.0,B
SM,2017-06-30,4.0,C
CXO,2017-06-30,5.0,C
EOG,2017-06-30,6.0,C
PXD,2017-06-30,7.0,C
FANG,2017-06-30,8.0,C
MTDR,2017-09-30,1.0,B
SM,2017-09-30,2.0,C
PXD,2017-09-30,3.0,C
FANG,2017-09-30,4.0,C
EOG,2017-09-30,5.0,C
CXO,2017-09-30,6.0,C
CPE,2017-09-30,7.0,C
VTLE,2017-09-30,8.0,C
MTDR,2017-12-31,1.0,B
EOG,2017-12-31,2.0,B
PXD,2017-12-31,3.0,B
SM,2017-12-31,4.0,C
CPE,2017-12-31,5.0,C
CXO,2017-12-31,6.0,C
VTLE,2017-12-31,7.0,C
FANG,2017-12-31,8.0,C
EOG,2018-03-31,1.0,B
SM,2018-03-31,2.0,B
CXO,2018-03-31,3.0,B
FANG,2018-03-31,4.0,B
PXD,2018-03-31,5.0,C
VTLE,2018-03-31,6.0,C
MTDR,2018-03-31,7.0,C
CPE,2018-03-31,8.0,C
CXO,2018-06-30,1.0,B
VTLE,2018-06-30,2.0,B
PXD,2018-06-30,3.0,B
EOG,2018-06-30,4.0,C
CPE,2018-06-30,5.0,C
FANG,2018-06-30,6.0,C
MTDR,2018-06-30,7.0,C
SM,2018-06-30,8.0,C
VTLE,2018-09-30,1.0,B
MTDR,2018-09-30,2.0,B
SM,2018-09-30,3.0,B
EOG,2018-09-30,4.0,B
PXD,2018-09-30,5.0,C
CPE,2018-09-30,6.0,C
CXO,2018-09-30,7.0,C
FANG,2018-09-30,8.0,C
EOG,2018-12-31,1.0,B
FANG,2018-12-31,2.0,B
MTDR,2018-12-31,3.0,B
VTLE,2018-12-31,4.0,C
CXO,2018-12-31,5.0,C
SM,2018-12-31,6.0,C
CPE,2018-12-31,7.0,C
PXD,2018-12-31,8.0,C
CPE,2019-03-31,1.0,B
MTDR,2019-03-31,2.0,B
CXO,2019-03-31,3.0,B
PXD,2019-03-31,4.0,C
VTLE,2019-03-31,5.0,C
SM,2019-03-31,6.0,C
EOG,2019-03-31,7.0,C
FANG,2019-03-31,8.0,D
CXO,2019-06-30,1.0,B
PXD,2019-06-30,2.0,C
VTLE,2019-06-30,3.0,C
CPE,2019-06-30,4.0,C
EOG,2019-06-30,5.0,C
SM,2019-06-30,6.0,C
FANG,2019-06-30,7.0,C
MTDR,2019-06-30,8.0,C
EOG,2019-09-30,1.0,B
PXD,2019-09-30,2.0,B
SM,2019-09-30,3.0,B
VTLE,2019-09-30,4.0,C
MTDR,2019-09-30,5.0,C
CXO,2019-09-30,6.0,C
CPE,2019-09-30,7.0,C
FANG,2019-09-30,8.0,C
PXD,2019-12-31,1.0,B
SM,2019-12-31,2.0,B
FANG,2019-12-31,3.0,
VTLE,2019-12-31,4.0,C
CXO,2019-12-31,5.0,C
EOG,2019-12-31,6.0,C
MTDR,2019-12-31,7.0,C
CPE,2019-12-31,8.0,C
EOG,2020-03-31,1.0,B
SM,2020-03-31,2.0,B
MTDR,2020-03-31,3.0,C
VTLE,2020-03-31,4.0,C
FANG,2020-03-31,5.0,C
CPE,2020-03-31,6.0,C
PXD,2020-03-31,7.0,C
OVV,2020-03-31,8.0,C
CXO,2020-03-31,9.0,C
SM,2020-06-30,1.0,B
MTDR,2020-06-30,2.0,B
VTLE,2020-06-30,3.0,B
OVV,2020-06-30,4.0,C
EOG,2020-06-30,5.0,C
FANG,2020-06-30,6.0,C
CXO,2020-06-30,7.0,C
CPE,2020-06-30,8.0,C
PXD,2020-06-30,9.0,C
SM,2020-09-30,1.0,B
FANG,2020-09-30,2.0,B
OVV,2020-09-30,3.0,B
MTDR,2020-09-30,4.0,C
CPE,2020-09-30,5.0,C
VTLE,2020-09-30,6.0,C
EOG,2020-09-30,7.0,C
CXO,2020-09-30,8.0,C
PXD,2020-09-30,9.0,C
VTLE,2020-12-31,1.0,A
